Timestamp,Station,Anello,Progressiva
2017-04-09 16:05,3412.007324219,-7,3419.803222656
2017-04-25 20:25,3420.873046875,-4,3423.041992188
2017-04-27 12:49,3423.041992188,-3,3425.322265625
2017-04-28 13:22,3425.322265625,-2,3427.416259766
2017-05-10 18:01,3427.416259766,-1,3429.712646484
2017-05-12 11:36,3431.900146484,1,3434.089111328
2017-05-13 17:53,3434.089111328,2,3436.280761719
2017-05-14 08:37,3436.280761719,3,3438.466552734
2017-05-14 16:50,3438.466552734,4,3440.685546875
2017-05-15 10:35,3440.685302734,5,3442.924316406
2017-05-16 13:58,3442.924316406,6,3445.082275391
2017-05-17 10:19,3445.082275391,7,3447.1953125
2017-05-17 14:58,3447.1953125,8,3449.391113281
2017-05-18 08:37,3449.391113281,9,3451.582275391
2017-05-21 06:50,3451.582275391,10,3453.809570312
2017-05-21 15:10,3453.809570312,11,3456.022949219
2017-05-21 19:38,3456.022949219,12,3458.236328125
2017-05-22 10:38,3458.236328125,13,3460.435546875
2017-05-22 19:23,3460.435546875,14,3462.637939453
2017-05-23 11:27,3462.637939453,15,3464.900146484
2017-05-24 03:13,3464.900146484,16,3467.050292969
2017-05-24 09:54,3467.050292969,17,3469.267822266
2017-05-24 15:07,3469.267822266,18,3471.52734375
2017-05-24 19:49,3471.52734375,19,3473.6484375
2017-05-25 16:53,3473.6484375,20,3475.9296875
2017-05-25 21:17,3475.9296875,21,3478.114013672
2017-05-27 07:54,3478.114013672,22,3480.291259766
2017-05-27 11:40,3480.291259766,23,3482.504150391
2017-05-27 18:38,3482.504150391,24,3484.70703125
2017-05-28 09:05,3484.70703125,25,3486.860595703
2017-05-28 13:14,3486.860595703,26,3489.010498047
2017-05-30 07:19,3489.010498047,27,3491.305664062
2017-05-30 17:45,3491.305664062,28,3493.468505859
2017-05-31 08:01,3493.468505859,29,3495.679931641
2017-05-31 13:33,3495.679931641,30,3497.786865234
2017-05-31 17:59,3497.786865234,31,3500.083984375
2017-06-03 18:44,3500.083984375,32,3502.286376953
2017-06-04 11:33,3502.286376953,33,3504.503662109
2017-06-04 15:44,3504.503662109,34,3506.561767578
2017-06-04 23:32,3506.561767578,35,3508.841552734
